1 -0.00 -0.00 0.00 154.65 157.86 157.86 
2 -270.41 -270.41 -171.41 120.14 121.71 121.71 
3 -493.12 -493.12 -378.55 109.23 129.17 129.17 
4 -626.38 -626.38 -579.44 107.68 147.03 147.03 
5 -775.09 -698.04 -698.04 108.06 169.78 169.78 
6 -963.17 -731.59 -731.59 109.38 195.57 195.57 
7 -1138.82 -741.96 -741.96 111.43 223.40 223.40 
8 -1296.00 -738.89 -738.89 114.20 252.59 252.59 
9 -1429.77 -729.97 -729.97 117.72 282.69 282.69 
10 -1539.13 -721.37 -721.37 122.02 313.30 313.30 
11 -1628.75 -716.46 -716.46 127.09 344.00 344.00 
12 -1708.20 -714.79 -714.79 132.89 374.36 374.36 
13 -1788.93 -713.69 -713.69 139.31 403.87 403.87 
14 -1880.76 -711.01 -711.01 146.18 432.01 432.01 
15 -1989.21 -706.37 -706.37 153.24 458.24 458.24 
16 -2113.88 -700.93 -700.93 160.20 481.97 481.97 
17 -2247.62 -696.53 -696.53 166.67 502.52 502.52 
18 -2377.02 -694.47 -694.47 172.27 519.19 519.19 
19 -2485.24 -694.60 -694.60 176.61 531.39 531.39 
20 -2556.80 -695.62 -695.62 179.36 538.80 538.80 
21 -2581.73 -696.14 -696.14 180.30 541.27 541.27 
22 -2654.03 -695.95 -690.68 176.38 537.18 554.98 
23 -3045.03 -696.40 -674.24 164.55 525.11 597.91 
24 -5947.63 -699.29 -647.47 144.09 505.81 676.28 
25 -704.66 -613.51 111.62 480.63 802.71 3060.67 
26 -710.21 -578.91 48.69 451.22 998.26 1830.38 
27 -713.83 -552.21 -95.24 419.10 1195.90 1465.12 
28 -716.26 -541.11 -143.67 385.61 959.78 2083.04 
29 -720.70 -549.97 -173.21 351.89 745.96 6427.96 
30 -2842.53 -728.37 -576.86 -186.86 318.87 594.55 
31 -2080.02 -735.62 -612.62 -187.23 287.24 489.82 
32 -1801.00 -737.74 -645.89 -178.06 257.45 415.01 
33 -1661.14 -735.26 -670.82 -162.23 229.79 357.89 
34 -1568.94 -735.76 -691.36 -141.27 204.47 310.96 
35 -1468.03 -745.28 -714.63 -115.38 181.66 269.92 
36 -1318.51 -756.51 -736.81 -82.87 161.50 232.49 
37 -1107.89 -752.53 -742.73 -31.60 144.26 197.72 
38 -850.25 -713.26 -711.64 63.11 130.28 166.00 
39 -611.89 -606.21 -564.89 88.69 120.21 139.33 
40 -375.58 -370.18 -268.53 105.32 116.41 123.89 
41 -0.00 -0.00 0.00 154.65 157.86 157.86 
42 -230.66 -230.66 -152.76 120.72 121.45 121.45 
43 -440.59 -440.59 -341.19 98.82 119.43 119.43 
44 -581.03 -581.03 -524.37 79.33 125.76 125.76 
45 -702.34 -667.98 -667.98 46.61 135.15 135.15 
46 -872.91 -718.63 -718.63 -52.97 146.35 146.35 
47 -1031.27 -745.27 -745.27 -92.80 158.67 158.67 
48 -1171.03 -755.78 -755.78 -123.07 171.59 171.59 
49 -1285.87 -755.45 -755.45 -149.24 184.74 184.74 
50 -1371.91 -748.62 -748.62 -172.74 197.79 197.79 
51 -1429.56 -739.54 -739.54 -194.08 210.47 210.47 
52 -1463.84 -732.18 -732.18 -213.46 222.58 222.58 
53 -1482.68 -729.03 -729.03 -230.95 233.93 233.93 
54 -1494.37 -730.09 -730.09 -246.54 244.34 244.34 
55 -1505.46 -733.30 -733.30 -260.22 253.67 253.67 
56 -1519.54 -736.22 -736.22 -271.91 261.79 261.79 
57 -1537.21 -737.21 -737.21 -281.58 268.60 268.60 
58 -1556.59 -735.94 -735.94 -289.16 273.99 273.99 
59 -1574.35 -733.25 -733.25 -294.61 277.89 277.89 
60 -1586.87 -730.62 -730.62 -297.89 280.25 280.25 
61 -1591.39 -729.54 -729.54 -298.99 281.05 281.05 
